id,state_name,state_code,district_name,district_code,subdistrict_name,subdistrict_code,cluster_name,village_name,udise_village_code,pincode,ward,school_name,udise_school_code,school_category,school_type,management,year_of_establishment,longitude,latitude,status,location_type,class_from,class_to,aff_board_sec,aff_board_h_sec,pre_primary,class_rooms,other_rooms,total_teachers,pre_primary_students,i_students,ii_students,iii_students,iv_students,v_students,vi_students,vii_students,viii_students,ix_students,x_students,xi_students,xii_students,class_students,class_with_pre_primary_students
9061,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Bikonggre,170102069,794104,,BIKONGGRE G/A SEC. SCHOOL,17010206903,Secondary Only,Co. Educational,Government Aided,1989,90.088889,25.328333,Operational,Rural,9,10,State Board,,0,4,5,8,0,0,0,0,0,0,0,0,0,15,21,0,0,36,36
9062,Meghalaya,17,West Garo Hills,278,,,Magalpara Crc,Bikonggre,170102069,794104,,BIKONGGRE HIGHER SECONDARY SCHOOL,17010206904,Higher Secondary only/Jr. College,Co. Educational,Private Unaided (Recognized),2012,90.134972,25.805056,Operational,Rural,11,12,,State Board,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5
9063,Meghalaya,17,West Garo Hills,278,,,Saka Boldakgre Crc,Dugalgre,170102070,794003,,DUGALGRE UPS,17010207001,Upper Primary only,Co. Educational,Government Aided,1987,90.763056,25.196667,Operational,Rural,6,8,,,0,4,0,4,0,0,0,0,0,0,7,12,8,0,0,0,0,27,27
9064,Meghalaya,17,West Garo Hills,278,,,Saka Boldakgre Crc,Dugalgre,170102070,794003,,DUGALGRE LPS,17010207002,Primary,Co. Educational,Department of Education,1974,90.784722,25.193333,Operational,Rural,1,5,,,0,2,0,2,0,11,5,6,2,5,0,0,0,0,0,0,0,29,29
9065,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Megonggre,170102071,794003,,MEGONGGRE LPS,17010207101,Primary,Co. Educational,Department of Education,1954,90.083333,25.251111,Operational,Rural,1,5,,,0,4,0,2,0,9,8,7,8,7,0,0,0,0,0,0,0,39,39
9066,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Megonggre,170102071,794003,,MEGONGGRE SSA UPS,17010207102,Upper Primary only,Co. Educational,Department of Education,2010,90.08,25.244444,Operational,Rural,6,8,,,0,3,0,3,0,0,0,0,0,0,6,1,4,0,0,0,0,11,11
9067,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Dokramagre,170102072,794003,,DOKRAMAGRE LPS,17010207201,Primary,Co. Educational,Government Aided,1995,90.203056,25.771111,Operational,Rural,1,5,,,0,1,0,1,21,14,6,5,2,0,0,0,0,0,0,0,0,27,48
9068,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Dokramagre,170102072,794003,,KING WAY ACADEMY UPS,17010207202,Upper Primary only,Co. Educational,Private Unaided (Recognized),2009,90.199722,25.767778,Operational,Rural,6,8,,,0,3,0,5,0,0,0,0,0,0,12,10,14,0,0,0,0,36,36
9069,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Dokramagre,170102072,794003,,KINGS WAY ACADEMY,17010207203,Primary,Co. Educational,Private Unaided (Recognized),2009,90.199722,25.767778,Operational,Rural,1,5,,,0,6,0,4,49,30,17,20,16,15,0,0,0,0,0,0,0,98,147
9070,Meghalaya,17,West Garo Hills,278,,,Sadolpara Crc,Dokramagre,170102072,794003,,KINGS WAY ACADEMY SEC. SCHOOL,17010207204,Secondary Only,Co. Educational,Private Unaided (Recognized),2014,90.19972,25.76778,Operational,Rural,9,10,State Board,,0,3,2,4,0,0,0,0,0,0,0,0,0,27,42,0,0,69,69
9071,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,DADENGGRE LPS,17010207303,Primary,Co. Educational,Department of Education,1954,90.098056,25.878333,Operational,Rural,1,5,,,0,3,1,4,0,45,57,29,48,49,0,0,0,0,0,0,0,228,228
9072,Meghalaya,17,West Garo Hills,278,,,Saka Boldakgre Crc,Dadenggre,170102073,794003,,KASTURBA GANDHI BALIKA VIDYALAYA,17010207305,Upper Primary only,Girls Only,Department of Education,2009,90.210556,25.734333,Operational,Rural,6,8,,,0,3,0,8,0,0,0,0,0,0,24,12,9,0,0,0,0,45,45
9073,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,ST. LITTLE FLOWER LPS,17010207306,Primary,Co. Educational,Department of Education,1976,90.456389,25.451944,Operational,Rural,1,5,,,0,8,1,5,223,100,81,126,65,71,0,0,0,0,0,0,0,443,666
9074,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,LITTLE FLOWER UPS,17010207307,Upper Primary only,Co. Educational,Government Aided,1976,90.449722,25.448611,Operational,Rural,6,8,,,1,5,0,4,0,0,0,0,0,0,99,103,68,0,0,0,0,270,270
9075,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,TINY ROSE LPS,17010207308,Primary,Co. Educational,Private Unaided (Recognized),1997,90.916111,25.828333,Operational,Rural,1,5,,,0,3,0,8,114,56,51,67,38,42,0,0,0,0,0,0,0,254,368
9076,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,TINY ROSE SSA UPS,17010207309,Upper Primary only,Co. Educational,Department of Education,2002,90.929444,25.818333,Operational,Rural,6,8,,,0,13,0,8,0,0,0,0,0,0,53,54,50,0,0,0,0,157,157
9077,Meghalaya,17,West Garo Hills,278,,,Ajigre Crc,Dadenggre,170102073,794003,,TINY ROSE SECONDARY SCHOOL,17010207311,Secondary Only,Co. Educational,Private Unaided (Recognized),1997,90.929444,25.818333,Operational,Rural,9,10,State Board,,0,2,3,6,0,0,0,0,0,0,0,0,0,71,52,0,0,123,123
